PID,Title,Creator,Abstract/Description,Date Issued,Identifier,Format
fsu:254549,The Case for a University Archivist: Preserving Institutional Memory.,"Woodward, Eddie",,2011,FSU_migr_sca-0016,Citation
fsu:207164,Constructing a Historiography of Mexican Women and Gender.,"Buck Kachaluba, Sarah A.","This article outlines the historiographical importance of the International Colloquium of Women's and Gender History in Mexico, particularly in the context of the author's own scholarship, especially her dissertation. It argues for the need for women's and gender history, and for a dialogue, by means of which these separate but related bodies of scholarship can inform the other. It includes a summary of the author's dissertation and its theoretical influences, a review of historical topics discussed at the first two conferences of the International Colloquium of Women's and Gender History, and a discussion of the historiographical implications of such developments.",2008,"FSU_migr_library_faculty_publications-0001, 10.1111/j.1468-0424.2007.00508.x",Citation
fsu:277450,The Copyright Modernization Act: A guide for post-secondary instructors.,"Soper, Devin","In November 2012, the educational provisions of the Copyright Modernization Act were proclaimed in force, thereby introducing a number of significant changes to the Canadian Copyright Act. These changes include the expansion of fair dealing to include the purpose of education, the addition of new educational exceptions for the online transmission of lessons and the use of work freely available through the internet, and a number of amendments that make existing educational exceptions more technologically accommodating. This paper considers the significance of these changes for post-secondary instructors, first contextualizing the changes in relation to recent fair dealing jurisprudence, and then considering their significance for everyday instructional practice. Drawing on influential court decisions and the commentary of academics and lawyers, the paper not only describes how the changes to the Copyright Act have expanded the rights and exceptions available to instructors, but also identifies a number of unresolved questions about how the changes should be applied in practice. Despite these areas of uncertainty, the paper concludes that the changes bode well for post-secondary instructors, as they relax many long-standing restrictions around the use of copyrighted works for educational purposes.",7/6/13,"FSU_libsubv1_scholarship_submission_1891, 10.5206/cjsotl-rcacea.2013.1.6",Citation
fsu:267017,Core Competencies for Subject Librarians at the Florida State University Libraries.,"Schoonover, Dan, Kinsley, Kirsten M., Colvin, Gloria, Julian, Renaine, Buck Kachaluba, Sarah A., Vandegrift, Micah, Wharton, Lindsey, McKnight, Jenni, Wyckoff, Trip","In response to changing roles of subject librarians, Florida State University Libraries identified three basic, overarching values of the subject librarian program, and flowing out from those values, five core competencies. The valuesâ€”engagement, advocacy, and collaborationâ€”are a priority of all subject librarians and help to define a common identity. The core competenciesâ€”research services, scholarly communication, use of digital tools, teaching, and collection development and accessâ€”are benchmarks for superior service.",2014,FSU_migr_library_faculty_publications-0023,Citation
fsu:277428,Cross Staffing at FSU Libraries: Using Innovation to Overcome Financial Obstacles.,"Leon, Jorge, Julian, Renaine, McKnight, Jenni","Inspiration can be found in a variety of ways such as technology, conferences, and other academic settings. However, sometimes, something as unusual as budget cuts can inspire an innovative, new program. Like many other university libraries, Florida State University (FSU) Libraries faced a budget decrease, but, still insisted on maintaining a consistent level of service for all of our patrons. This inspired staff to think outside of the box and to develop a cross-staffing service model that provides outstanding customer service, establishes an accurate referral system and facilitates the professional development of staff by creating a better understanding of other departmentsâ€™ policies and procedures.",11/20/15,FSU_libsubv1_scholarship_submission_1453747277,Citation
fsu:485214,De-Centering and Recentering Digital Scholarship: A Manifesto.,"Moritz, Carolyn, Smart, Rachel, Retteen, Aaron, Hunter, Matthew, Stanley, Sarah, Soper, Devin, Vandegrift, Micah","Digital scholarship is an evolving area of librarianship. In this piece we propose 10 theses, statements about what this kind of work DOES, rather than trying to define with it IS. We believe that digitally-inflected research and learning, and the characteristics they employ, are essential to the recentering of our profession's position in/across the academy. We also believe that the ""digital scholarship center"" has served its time, and that the activities and models for digital scholarship work are core to librarianship. This manifesto is meant to serve as a starting point for a necessary discussion, not an end-all, be-all. We hope others will write and share counter-manifestos, passionate responses, or affirming statements.",8/7/17,"FSU_libsubv1_scholarship_submission_1502120993_6cfb0731, 10.17605/OSF.IO/T7HFU",Citation
fsu:205364,Developing Archival Information Package (AIP) for Florida Digital Archive (FDA) using Metadata Encoding Transmission Standard (METS): Digital curation data management for undergraduate honors theses (UHT) at Florida State University.,"Smith, Plato, Viera, Alicia","The Florida State University (FSU) Libraries partnered with the Honors in the Major department in 2004 to begin providing onlineaccess to FSU undergraduate honors theses (UHT) . Over the years, data management processes, platform selection, workflow improvements, andpolicy developments have changed to improve the curation lifecycle of UHT at FSU. Some of these changes included representation information normalization, format conversion, content migration, copyright management, and digital preservation. This project used The DCC CurationLifecycle Model as a conceptual framework for guiding the idea, development, curation activities, and workflow processes for the preservation of FSU UHTs from 2004-2010. The Metadata Encoding Transmission Standard (METS) was used for the development of Submission Information Packages (SIP) for preservation in the Florida Digital Archive (FDA) using Dark Archive in the Sunshine State (DAITSS) version 2 which entered production April 2011.",2011,FSU_migr_digital_lib-0012,Citation
fsu:207169,Developing Humanities Collections in the Digital Age: Exploring Humanities Faculty Engagement with Electronic and Print Resources.,"Buck Kachaluba, Sarah A., Evans Brady, Jessica, Critten, Jessica","This article is based on quantitative and qualitative research examining humanities scholars' understandings of the advantages and disadvantages of print versus electronic information resources. It explores how humanities' faculty members at Florida State University (FSU) use print and electronic resources, as well as how they perceive these different formats. It was carried out with the goal of assisting the authors and other librarians in choosing between electronic and print formats when performing collection development responsibilities.",2013,FSU_migr_library_faculty_publications-0007,Citation
fsu:205362,"Developing small worlds of e-science: using quantum mechanics, biological science, and oceanography for education and outreach strategies for engaging research communities within a univeristy.","Smith, Plato, Schwerzel, Sharon, Weatherholt, Tamara","The poster will use text, diagrams, screenshots, models, and developing e-science digital collections at Florida State University (FSU) Libraries as an experimental approach in developing a digital preservation management policy strategy that promotes current and future use of FSU Libraries digital assets. Scientific research from quantum mechanics, biological science, and oceanography research disciplines will be used as digital collection development and preservation models for education and outreach strategies for engaging disciplinary research communities at FSU. The project will explore the use of standards-based description and the ingest, access, data management, and preservation functional entities of the open archival information system (OAIS) reference model as they relate to digital collection development and preservation of early works on quantum mechanics by Paul A.M. Dirac such as his 1926 hand-writing dissertation and other keen insights from primary source materials on quantum mechanics, biological science images of biological silica, and oceanography technical reports. Select materials from these research disciplines will be digitized, cataloged, and made available online via libraries public access catalog (OPAC), OCLC WorldCat, and DigiTool institutional repository (IR) along with being preserved via the Florida Digital Archive (FDA) and/or MetaArchive. The poster will reference Purdue's work on digital curation profile development for research discipline-specific communities and propose a theory of metatriangulation that maps the Reference Model for an Open Archival Information System (OAIS) CCSDS 650.0-P-1.1 (Pink Book) Issue 1.1 August 2009, The DCC Curation Lifecycle Model, and Boyers Model of Scholarship in the development of a digital preservation management policy strategy for interdisciplinary consideration and research community engagement. The poster will exhibit FSU Libraries' local collaboration with the Department of Biological Science, Department of Oceanography, Special Collections and Dirac Science Library; regional collaboration with Florida Center for Library Automation (FCLA); and national/international collaboration with MetaArchive Cooperative for data management and/or preservation.",2010,FSU_migr_digital_lib-0010,Citation
fsu:205361,Diatomscapes ExposÃ© â€“ How Faculty and Digital Librarian Collaborate to Promote and Preserve the Passion of the Research (CP3R) for Digital Futures.,"Smith, Plato",The paper aims to introduce the framework outlined in The Digital Curation Centre (DCC) Curation Lifecycle Model for the development of a systematic approach for preservation of images of biological silica collected from the southern part of the US. The paper also aims to demonstrate the progressive collaborative relationship between researcher and digital librarian in developing and preserving images of biological silica for open access and digital preservation.,2010,FSU_migr_digital_lib-0004,Citation
fsu:277608,DigiNole 2.0 Virtual Ribbon-Cutting Ceremony.,"Brown, Bryan",A video recording of the virtual ribbon-cutting ceremony on launch day for DigiNole 2.0.,2/29/16,FSU_diginole-ribbon-cutting-ceremony,Video file
fsu:254536,Digital Commons: FSU's Institutional Repository (IR).,"Morris, Sammie",,2011,FSU_migr_sca-0001,Citation
fsu:254547,Documenting History through Teamwork: Student-Faculty Collaborative Activities in Special Collections FSU Libraries.,"Altman, Burt",Society of Florida Archivists 2011 Annual Meeting presentation.,2011,FSU_migr_sca-0014,Citation
fsu:207175,Efficiencies for Quality Control of Repurposed Metadata.,"Glerum, Annie","Quality control of bibliographic data is essential in assuring ETDs are both discoverable and accurately described. This poster session outlines semi-automated methods for achieving accurate transcription of bibliographic data in theses and dissertations for both digital repository and catalog records. Earlier methods involved digital repository staff manually inputting bibliographic data then cataloging staff copying that data from the digital repository website into a MARC template along with additional information from the PDF. With the new workflow, manual transcription of bibliographic information found in the PDF is replaced with automated extraction of the PDF data. The extracted PDF data and the ProQuest metadata are used as common source data for XSLT (eXtensible Stylesheet Language Transformations) programs to generate metadata for both the digital repository (Bepress) and the catalog (MARC21XML). Common modular XSLT programs are included in both transformations, and common XML reference tables provide an index of shared data values. The advantage of this new method is that it combines the quality control of transcription taken directly from the PDF with the time efficiency of automated repurposing of ProQuest metadata. By using common data sources, transformations, and reference tables, the metadata is accurate and consistent for both the digital repository and the catalog. And since staff time is greatly reduced, the ETDs are made available to patrons more quickly.",2014,FSU_migr_library_faculty_publications-0014,Citation
fsu:207170,"El control de la natalidad y el dÃ_a de la madre: polÃ_tica feminista y reaccionaria en MÃ©xico, 1922- 1923.","Buck Kachaluba, Sarah A.",El artÃ_culo la polÃ_tica feminista mexicana durante el periodo de 1922-1923. Feministas como Margaret Sanger y Esperanza VelÃ¡zquez Bringas expusieron que el paÃ_s necesitaba una polÃ_tica acerca del control de la natalidad. Ellas argumentaban que los programas patrocinados del Estado para este control podrÃ_an liberar las mujeres y proporcionar los medios para la modernizaciÃ_n y desarrollo.,2001,FSU_migr_library_faculty_publications-0008,Citation
fsu:205366,ETD Access and Discovery: Enhancing Public Access and Discovery of the Research at Florida State University.,"Smith, Plato","ETD 2006 U.S. Regional Conference: Revealing the Potential of ETDs co-presentation at the University of Missouri-St. Louis on October 27, 2006 with Michael Kaplan of Ex Libris discussing DigiTool digital assets management system.",2006,FSU_migr_digital_lib-0015,Citation
fsu:403077,Everything Old is New Again: The Criminology/Criminal Justice Freshman Research Seminar.,"Hill, Leslie, Maier-Katkin, Daniel, Kinsley, Kirsten","This is a report of an action-research project undertaken in tandem with the development of a new freshman seminar in criminology and criminal justice. In the freshman seminar the goal is to teach the research, critical thinking and writing skills that are the underpinnings of scholarship and good citizenship. Utilizing a unique approach, this class focuses on resources available through the University library and is taught by a professor, two librarians and a graduate teaching assistant. We hypothesize that freshmen who experience this seminar will show improvement in critical thinking skills, and that this will contribute to greater levels of academic success. This report describes the educational innovation (seminar) in sufficient detail to make replication possible, and presents preliminary findings that indicate the seminar enhances research and writing skills, fosters ability to think critically, and has a positive influence on studentsâ€™ academic careers.",6/12/15,"FSU_libsubv1_scholarship_submission_1488563765, 10.1080/10511253.2015.1052002",Citation
fsu:253713,Evolving in Common: Creating Mutually Supportive Relationships Between Libraries and the Digital Humanities.,"Vandegrift, Micah, Varner, Stewart","The authors lay out practical ways for libraries to involve themselves in this evolving area, especially focused on current strengths of many libraries including commitments to resource accessibility and project development. Finally, this article proposes that the role of the research librarian is evolving in order to effectively integrate the library as a partner in the scholarship of digital humanities.",2013,"FSU_migr_library_faculty_publications-0004, 10.1080/01930826.2013.756699",Set of related objects
fsu:207165,Faculty Senate Library Committee - Task Force on Scholarly Communications: Final Report.,"Vandegrift, Micah","This report summarizes the work of the Scholarly Communications Task Force. The Task Force was charged to:Conduct an environmental scan of FSUs faculty involvement in scholarly publishing; Increase awareness of scholarly communication issues on campus; Explore support for copyright assistance and open-access initiatives with FSU administration; and make recommendations to the Faculty Senate about scholarly communication initiatives and/or policies. The final product of the Task Force was an Open Access Resolution, passed unanimously in the Faculty Senate on Oct. 19, 2011, supporting the continued work of the libraries in exploring and addressing open access on campus.",2011,"FSU_migr_library_faculty_publications-0002, 10.6084/m9.figshare.1584910.v1",Citation
fsu:205384,A Faculty-librarian collaboration for developing information literacy skills among preservice teachers.,"Floyd, Deborah, Colvin, Gloria, Bodur, Yasar","Preservice teachers enrolled in the first portion of an undergraduate education program at the Florida State University were assigned to develop case studies based on their experience working in local elementary schools. The case studies were to include research from the scholarly literature of the field using a rubric developed by the instructor for evaluating sources. After inadequate results were recorded from the initial semester's projects, the course instructor paired with a liaison librarian to provide a workshop to improve the use of scholarly resources in the following semester's class. This article reports on a citation analysis of student bibliographies from the two classes, finding that the number of scholarly resources cited increased significantly when the librarian's presentation accompanied the use of the instructor's rubric. The results affirm earlier research that a combination of library instruction and clear faculty-established guidelines and requirements for the use of scholarly resources results in increased quality of student research.",2008,"FSU_migr_scholar_com-0004, 10.1016/j.tate.2006.11.018",Citation
fsu:205383,Florida Libraries Go Live: A Look at Chat Reference Services in Florida Libraries.,"Colvin, Gloria",,2003,"FSU_migr_scholar_com-0003, 10.1300/J136v08n01_09",Citation
fsu:254540,Florida Oral History Project Initiatives.,"Altman, Burt, Thomas, Karen",Society of Florida Archivists 2008 annual meeting conference presentation.,2008,FSU_migr_sca-0006,Citation
fsu:371138,From Assessment to Implementation: Using Qualitative Interviews to Inform Distance Library Services.,"Wharton, Lindsey Nicole","While broad assessment projects are often used to steer library strategic planning initiatives, this article will present the benefits of qualitative interviews with distance learning constituents as a framework for developing a focused vision and targeted services. This paper will describe the planning and execution of an assessment project used to build a foundation for future library resources and services to target off-campus users. The benefits of this analysis will be detailed. Based on the data, implementation strategies were devised to strengthen and further develop the distance learning unit at Florida State University Libraries.",10/3/16,"FSU_libsubv1_scholarship_submission_1478017216, 10.1080/1533290X.2016.1232051",Citation
fsu:277463,FSU Faculty Senate Open Access Policy.,"Roehrig, Alysia, Burnett, Gary, Soper, Devin","Presentation of a proposed faculty Open Access (OA) policy to the Florida State University Faculty Senate on 17 February 2016. Following the presentation and questions, the Senate voted unanimously in favor of adopting the policy.",2/17/16,FSU_libsubv1_scholarship_submission_1456162450,Citation
fsu:500820,FSU_libsubv1_wos_000380580100009_combined.,,,,,Citation
fsu:330717,GoPro as an Ethnographic Tool: A Wayfinding Study in an Academic Library.,"Kinsley, Kirsten, Schoonover, Dan, Spitler, Jasmine","In this study, researchers sought to capture studentsâ€™ authentic experience of finding books in the main library using a GoPro camera and the think-aloud protocol. The GoPro provided a first-person perspective and was an effective ethnographic tool for observing a student's individual experience, while also demonstrating what tools they use to find items. Using the think-aloud protocol, observers could hear students express their internal decisions, thoughts, and feelings about the process. Results confirmed trouble spots in the building and that directories are not typically used and need updating. GoPro footage revealed that there are certain qualities of the help-desk experience that can make a search more or less successful. No major sex differences were found in preference of wayfinding tools and behaviors, except that males appear to have used directories marginally more than females. In a debriefing survey, students still affirmed human help and online maps as the most useful wayfinding tools and advocated for better signage. Mapping of behaviors by floor also validated GoPro observations. At low cost to the library, the GoPro/think-aloud combination along with survey and mapping methodologies affirmed trouble spots in the building and provided suggestions for wayfinding improvements to library administration.",6/8/16,"FSU_libsubv1_scholarship_submission_1466695442, 10.1080/15367967.2016.1154465",Citation
fsu:207176,Graduate Conversations: Assessing the Space Needs of Graduate Students.,"Kinsley, Kirsten, Besara, Rachel, Scheel, Abby, Colvin, Gloria, Evans Brady, Jessica, Burel, Melissa","This article discusses the preferences, habits, and needs of graduate students as they relate to spaces for research and study. The findings are based on a large-scale ethnographic study of graduate students at Florida State University conducted between 2010 and 2013. Using a variety of ethnographic methods, researchers found that graduate students have diverse needs and unequal access to appropriate spaces and resources to meet those needs. Libraries can help fill the gaps left by home and academic departments by providing a range of spaces offering different noise levels, resources, and other amenities.",2014,FSU_migr_library_faculty_publications-0015,Citation
fsu:277429,Green Libraries on the Cheap.,"Fallik, Sarah, Soper, Devin, Sparks, Kaitlyn","""Going green,"" or becoming more environmentally conscious, has become a mounting international concern in recent decades. The increasing global consumption of finite resources has led to large-scale societal campaigns to heighten awareness about environmental issues and concerns. With interest in environmental sustainability on the rise, libraries are increasingly deciding to undertake their own green initiatives. And why not? Libraries that embrace greener practices reinforce ""their roles as community/cultural centers that significantly and positively impact the quality of life of those they serve"" (Mulford & Himmel, 2010). Additionally, green library initiatives are a wonderful means of building community partnerships, demonstrating effective leadership, and enhancing the library's public profile (Brodie, 2012). So what exactly does it mean to be a ""green library""? The designation is difficult to define, but, generally speaking, libraries that implement green practices are committed to pursuing innovation, to minimizing waste, and, where possible, to adopting and promoting environmentally sound processes throughout their organizations (Schaper, 2010). While these aspirations are admirable, it is easy to lose sight of them, especially in times of widespread economic hardship and dwindling library budgets. In light of these difficulties, the challenge of optimizing library facilities, operations, and collections can seem overwhelming, and the potential costs can be intimidating. Contrary to these impressions, libraries can work toward a more sustainable future through relatively simple, inexpensive measures, and many changes can actually save money in the long term. This article outlines a variety of practical strategies for implementing greener practices within the context of budget limitations. Most of these strategies can be employed at minimal cost, and, taken together, they can serve as a powerful catalyst for change. Where there is a will, there is always a way, and getting creative is often the most effective way to stay within budget parameters!",10/7/12,FSU_libsubv1_scholarship_submission_1892,Citation
fsu:265567,Heritage Protocol Online Inventory & Submission Process.,"McDonald, Robert, Smith, Plato",The presentation highlights the early development of FSU Heritage Protocol using DigiTool digital assets management system for the digital collection development and resource discovery of select historic FSU materials digitized for online display.,2006,FSU_migr_digital_lib-0016,Citation
fsu:253664,"How OAIS and OA IR you?: Developing workflows in publishing, promoting, and preserving faculty grey literature within a university.","Smith, Plato","Demonstrates partnerships between faculty, digital librarian, cataloger, and external digital preservation partners involved in open access (OA) institutional repository (IR) digital collection development and digital preservation of grey literature at Florida State University Proposes mapping current digital collections and digital preservation workflows to open archival information system (OAIS) reference model as part of a self-assessment and gap analysis to improve current workflows and move towards the adoption of open standards and best practices Explores open access digital collections building and digital preservation policy development by mapping to OAIS reference modelReferences The DCC Curation Lifecycle Model and digital curation profile as supplemental resources in the development of an institution's digital preservation management policy strategy for future inclusion into current digital collection development policy",2009,FSU_migr_digital_lib-0003,Set of related objects
fsu:307367,It Takes Teamwork to Make the Dream Work: Delivering data management services in a team based environment.,"Julian, Renaine, Vandegrift, Micah, Besara, Rachel","This poster discusses the planning and implementation of research data management services at Florida State University Libraries. We are taking a novel approach to providing research data management services by implementing a team-based model, leveraging existing skillsets and minimizing the risk of developing a new service. Part of a larger initiative in digital scholarship, the data research librarian and digital scholarship coordinator work together in coordinating data management services. The support of the program comes from a team of subject librarians, graduate assistants and staff, especially within the STEM areas, who participate in consultations and data management plan research and writing. Collaboration to this degree is not without its pain points, but weâ€™ve optimized workflows by using tools like DMPTool, Trello and Slack. We will demonstrate how these tools streamline data management service delivery as well as enhance communication and collaboration.",5/4/16,"FSU_libsubv1_scholarship_submission_1461768488, 10.6084/m9.figshare.3202006.v1",Citation
fsu:436272,Leveraging LC's Linked Data API.,"Miguez, Matthew Roland","Presented at ALA Annual 2017. Panel abstract: In this program speakers will discuss how they are using APIs to improve and automate cataloging, acquisition, metadata enhancement, and holdings maintenance workflows in technical services. APIs being discussed will be both open source and vendor-specific. A general overview of API will be provided.",,FSU_libsubv1_scholarship_submission_1498756273_c156678f_compound,Set of related objects
fsu:253716,"Librarian, Heal Thyself: A Scholarly Communication Analysis of LIS Journals.","Bowley, Chealsye, Vandegrift, Micah","This article presents an analysis of 111 journals in Library and Information Science based on measurements of ""openness"" including copyright policies, open access self-archiving policies and open access publishing options. We propose a new metric to rank journals: the J.O.I Factor (Journal Openness Index). Finally, the article calls for librarians and researchers in LIS to examine our scholarly literature and hold it to the principles and standards that we are asking of other disciplines. Data are accessible at <a href=""http://dx.doi.org/10.6084/m9.figshare.994258"">http://dx.doi.org/10.6084/m9.figshare.994258",2014,"FSU_migr_library_faculty_publications-0010, 10.6084/m9.figshare.994261",Set of related objects
fsu:207168,Librarians and the Entrepreneurship Bootcamp for Veterans: Helping Disabled Veterans with Business Research.,"Hoppenfeld, Jared, Wyckoff, Trip, Henson, Jo, Mayotte, Jenna, Kirkwood, Hal","The Entrepreneurship Bootcamp for Veterans with Disabilities is a national educational program that helps post-9/11 veterans discover their dreams of starting their own businesses. Although their story has been well documented, one story that has not been told is that of a group of business librarians who support the program. The authors present unique services and resources made available to participants of this program and discuss some of the challenges, results, and future aspirations of library support.",2013,"FSU_migr_library_faculty_publications-0006, 10.1080/08963568.2013.825227",Citation
fsu:207173,Library Express Delivery Service: The Evolution of a Campus Delivery Service at Florida State University.,"Schoonover, Dan, Siriwardena, Michael, Jones, Reginald",Libraries are always faced with the challenge for developing new services that respond to the growing needs of their patron base. A library material delivery service is one new service model that is becoming increasingly popular among academic libraries around the country. While this service has shown positive results on college campuses the service model is still evolving. The purpose of this article is to provide library professionals with a clear and concise overview of policies and logistics currently implemented by the Library Express Delivery Service at Florida State University.,2014,"FSU_migr_library_faculty_publications-0012, 10.1080/1072303X.2014.895792",Citation
fsu:277456,Living with the Legacy: Inheriting Problematic Digital Collections.,"Thomas, Krystal M","When Florida State University started the migration from its old digital collections software into the Islandora platform, it became clear the actual migration wasnâ€™t going to be the biggest problem; more than a decadeâ€™s worth of poor digital project planning and coordination was. In moving to the new platform and revisiting our old projects, it was an opportunity to take stock of everything digital; find the problems in projects over time, come up with ways to approach and solve them if possible and also put people and documentation in place to make sure they did not happen again.",10/26/15,FSU_libsubv1_scholarship_submission_1925,Citation
fsu:307368,Migrating to an Open Source Institutional Repository.,"Brown, Bryan J, Soper, Devin","FSU Libraries recently completed a migration from Digital Commons (a hosted proprietary IR platform) to Islandora (an open source digital collections platform based on Drupal and Fedora Commons). In implementing a mission-critical open source system, we have encountered a variety of challenges related to technical development, shared governance, communications, and user testing. This presentation shares some of the lessons we learned so that others can benefit from our experience.",4/29/16,FSU_libsubv1_scholarship_submission_1462290278,Citation
fsu:254546,The MPLP Approach to Processing.,"Altman, Burt, Taylor, Tomaro",,2009,FSU_migr_sca-0013,Citation
